,text,intent
3959,find under night in-birth,SearchCreativeWork
8326,book a spot in town in the same area as me,BookRestaurant
3195,fimd glory,SearchCreativeWork
951,i need a restaurant on july 18th in rose bud,BookRestaurant
13953,book a spot for 4 in oklahoma at south street diner,BookRestaurant
6759,i need to know what the weather will be like in gradyville at breakfast  in the state of colorado,GetWeather
8622,book a bistro in new zealand in 119 and a half days,BookRestaurant
1368,need a table for nine in east prairie la,BookRestaurant
4165,book a table for mindy and angelita at a restaurant which serves café liégeois,BookRestaurant
9671,find me a table for two at seven somewhere in australia,BookRestaurant
13022,add aprite le finestre to my this is earth  wind & fire playlist,AddToPlaylist
3865,book for 2 at a cafe for burgers in gasport,BookRestaurant
13373,what will the weather be in grand coteau ut at six pm,GetWeather
14090,let me hear the good songs from james iha,PlayMusic
11394,play red barchetta by blind lemon jefferson,PlayMusic
7683,play top-50 peter frampton songs,PlayMusic
1047,play music by christian bautista,PlayMusic
5665,which movie theatre nearest me is showing animated movies starting now,SearchScreeningEvent
11804,add suffer little children to this is racionais mc s playlist,AddToPlaylist
11569,rate the current novel two stars,RateBook
2548,add the current tune to my evening groove list,AddToPlaylist
2571,add runaljod gap var ginnunga to ashlee s playlist titled forever country,AddToPlaylist
2632,add current track to hillary clinton s women s history month playlist,AddToPlaylist
10440,give four out of 6 star to this novel,RateBook
1826,this chronicle gets a three out of 6,RateBook
4288,what is the forecast for assumption of mary in in for the weather depression,GetWeather
3539,i want to watch mr  and mrs  bridge at a nearest cinema,SearchScreeningEvent
7638,play kaori mochida s most popular music on google music,PlayMusic
12508,play the music track of 1998,PlayMusic
10694,what is the movie schedule for movies in the neighbourhood,SearchScreeningEvent
11997,i want to hear a soundtrack by dj ozma from the sixties,PlayMusic
9418,find the coffin,SearchCreativeWork
9472,will it be freezing in new preston venezuela,GetWeather
5495,play music from the eighties on slacker,PlayMusic
10304,what s the weather forecast for seychelles,GetWeather
7727,what films are playing at great escape theatres,SearchScreeningEvent
12719,whats  the weather in fernando new jersey,GetWeather
6362,find a painting called the book of folly,SearchCreativeWork
9050,where can i watch key to the city,SearchScreeningEvent
689,weather for turtle river state park,GetWeather
5384,find stays in mexico,SearchCreativeWork
5825,where can i watch mabel’s dramatic career at twenty two o clock,SearchScreeningEvent
2430,please play some music from the seventies movement,PlayMusic
8401,add metal church to my playlist named stress relief,AddToPlaylist
6499,i m trying to find the show chant ii,SearchCreativeWork
315,will it rain here at 13:22:09,GetWeather
7911,book in one hour within walking distance of a restaurant downtown,BookRestaurant
11642,what movie house is showing flower and snake at 08:56:29,SearchScreeningEvent
9520,show movie the skeptic – das teuflische haus,SearchCreativeWork
4207,are any animated movies scheduled for release in mann theatres,SearchScreeningEvent
9923,will the sun be out close-by admiralty island national monument,GetWeather
9636,i need fast food for nine within the same area as bowers that has a pool nearby on 4/17/2033,BookRestaurant
6922,what will the weather be in four weeks around tsingy de bemaraha strict nature reserve,GetWeather
12264,i need a 6 rating or five with something like a saga in the best science fiction of the year 13,RateBook
13748,the current textbook gets a 2 rating,RateBook
5474,give setting free the bears series a four out of 6 stars rating,RateBook
14009,what will the weather be in dane on sep  the fifth  2030,GetWeather
8439,find some close by movies,SearchScreeningEvent
12510,play me the tv show seal team,SearchCreativeWork
5582,play a new ballad by valy on iheart,PlayMusic
1623,what movies are on the movie schedules for five hours from now in the neighbourhood,SearchScreeningEvent
11090,play a song by tim finn on last fm,PlayMusic
11051,give the diamond chariot a 0 out of 6,RateBook
11998,please play kabhi jo baadal barse by ruth lorenzo,PlayMusic
4497,give 0 out of 6 star to religion and dharma series,RateBook
4766,book a table at central grocery on mar  22nd  2020,BookRestaurant
11967,what s the weather now in salmon lake state park,GetWeather
5573,what movies are currently playing at the caribbean cinemas,SearchScreeningEvent
12296,i want to add up to the mountain to my playlist with the title women of indie,AddToPlaylist
13525,add this ruth crawford seeger song to my playlist called the soundtrack 007,AddToPlaylist
5806,the chronicle of the emperor wears no clothes was too naive and simple  i d give it 1 out of 6 stars,RateBook
12551,is the angelus playing at the movie house at dinner time,SearchScreeningEvent
7808,book me a reservation for ad hoc in brazil for a party of 7,BookRestaurant
10083,what s it feel like in north gulfport,GetWeather
8020,find the album smoke and mirrors,SearchCreativeWork
268,use netflix to play michael white tune from 1955,PlayMusic
866,add album to bajo las estrellas,AddToPlaylist
2203,book a restaurant in darnell,BookRestaurant
2568,i m looking for a game called gateway,SearchCreativeWork
4539,tell me when it ll be hot in melbourne  nj,GetWeather
10784,where can i get intel array building blocks,SearchCreativeWork
1095,i need a reservation for a gastropub that serves a maple bacon donut,BookRestaurant
990,put edwyn collins onto my trabajo relax playlist,AddToPlaylist
13802,add porter wagoner to the the sleep machine waterscapes playlist,AddToPlaylist
11489,rate hocus bogus a 4,RateBook
9821,i am looking for a work called carry you home,SearchCreativeWork
3670,rate the nightmare fair five out of 6 stars,RateBook
8271,find me the river of love saga,SearchCreativeWork
13557,book a table at grecian coffee house for 7 on apr  7th  2024,BookRestaurant
4618,what will the weather be like at my current spot on january the 19th,GetWeather
11333,book a table for me and savannah in lauderdale lakes,BookRestaurant
11677,i give the cat and the king 2 stars,RateBook
12657,find think: act,SearchCreativeWork
4541,book a restaurant in botswana for seven people,BookRestaurant
12017,will the weather conditions be temperate and pleasant in togo,GetWeather
12029,give the frog prince  continued 2 points out of 6,RateBook
9883,what is the forecast in lono,GetWeather
8434,what is the weather forecast in 13 seconds  in grand traverse bay bottomland preserve,GetWeather
10504,i need chapter one of the show  get it for me please,SearchCreativeWork
2911,what will be the night temperate in indiana,GetWeather
1833,find a show called last night on earth,SearchCreativeWork
3208,play some iris dement s theme based 2015 music on lastfm,PlayMusic
12060,i d like a table for 3 at an outdoor restaurant,BookRestaurant
4302,where is picture everybody wants you,SearchCreativeWork
2109,please anything good by chieko ochi,PlayMusic
2343,find she monkeys,SearchCreativeWork
6694,find a reservation for a tea house in lorain,BookRestaurant
9165,add written in red to my cleaning the house playlist,AddToPlaylist
11976,book a table in tennessee for 1 for next august,BookRestaurant
1338,find a painting called the wipers times,SearchCreativeWork
2895,book a spot at the best brasserie near saudi arabia,BookRestaurant
12168,give five stars to current album,RateBook
11110,find the schedule for ghost world,SearchScreeningEvent
13859,add a track to jazzy dinner,AddToPlaylist
1732,i need to book a restaurant at four o clock for 4,BookRestaurant
1498,add a song to my playlist impulso creativo,AddToPlaylist
5918,is there a snowstorm coming in dana at 4 pm,GetWeather
10636,look for the nightmare on providence street saga,SearchCreativeWork
6527,can you make an addition to the old enough to enjoy this playlist with martin barre,AddToPlaylist
9462,play 1952 yusef lateef on netflix,PlayMusic
1258,please check whether any animated movies will be running in the area around 04:34:15 pm,SearchScreeningEvent
5672,grab a table at a restaurant in minnesota that serves ice cream cake,BookRestaurant
6746,holly and brittany need a reservation for a sardinian tea house close by co,BookRestaurant
13974,i want to book a sundanese gastropub nearby in texas for 3 people on 5/20/2025,BookRestaurant
8447,what s the weather two months from now in arletta malawi,GetWeather
1897,find close by movies movie times,SearchScreeningEvent
13695,add a gackt camui track to the white noise playlist,AddToPlaylist
6669,on dec  13  2018 i need a reservation for four in arizona,BookRestaurant
333,add split the difference to my women s lit playlist,AddToPlaylist
5600,add nina hagen to essential folk,AddToPlaylist
6717,is love coach playing at speakeasy theaters,SearchScreeningEvent
13903,i need a table for 4 please confirm the reservation,BookRestaurant
3629,will there be a snowstorm at my current place,GetWeather
8289,book a reservation for a taverna at sunrise in kaanapali,BookRestaurant
3497,show me work of truth and tolerance,SearchCreativeWork
6018,in twenty three hours and 1 second my daughter and i want to eat at a restaurant,BookRestaurant
11918,book a delicatessen that is indoor for 3,BookRestaurant
5761,fine movie times for loews cineplex entertainment,SearchScreeningEvent
12571,book reservations at a highly rated bar on 11/23/2031,BookRestaurant
2323,what is the movie schedule at douglas theatre company,SearchScreeningEvent
6378,is it nice in pw,GetWeather
3479,can i get the movie schedules for megaplex theatres,SearchScreeningEvent
7013,look for the kiss the girls game,SearchCreativeWork
5427,play my playlist springtime,PlayMusic
6344,will there be a blizzard in chapel point state park or in the same area,GetWeather
8821,what s the weather forecast in melcher-dallas,GetWeather
135,is live from sturgis 2006 playing at four o clock at the nearest cinema,SearchScreeningEvent
2360,is it going to be freezing in mahwah missouri on december the fifth  2025,GetWeather
3782,use deezer to play the last song from lee dorrian,PlayMusic
11176,give four points to leven thumps and the gateway to foo,RateBook
9725,find the schedule for movies at star theatres,SearchScreeningEvent
